ICAO;Total_passengers;Total_aircraft_movements
CYYZ;47054696;null
EDDF;64500386;475537
EDDM;44577241;null
EGKK;45561694;null
EGLL;78014598;null
EHAM;68515425;null
KATL;103902992;879560
KCLT;45909899;553817
KDEN;61379396;574966
KDFW;67092194;654344
KEWR;43393499;null
KIAH;40696189;null
KJFK;59392500;null
KLAS;48566803;482676
KLAX;84557968;700362
KMCO;44511265;null
KMIA;44071313;null
KORD;79828183;867049
KPHX;43921670;null
KSEA;46934194;null
KSFO;55822129;null
LEBL;47262826;null
LEMD;53386075;null
LFPG;69471442;null
LIRF;40968756;null
LTBA;63859785;null
MMMX;44732418;null
OMDB;88242099;null
RCTP;44878703;null
RJAA;40631193;null
RJTT;85408975;null
RKSI;62157834;null
RPLL;42022484;null
UUEE;40092806;null
VABB;47204259;null
VHHH;72665078;null
VIDP;63451503;null
VTBS;60860557;null
WIII;63015620;null
WMKK;58558440;null
WSSS;62219573;null
YSSY;43410355;null
ZBAA;95786442;597259
ZGGG;65887473;null
ZGSZ;45558409;null
ZLXY;41857406;null
ZPPP;44729736;null
ZSPD;70001237;496774
ZSSS;41884059;null
ZUUU;49801693;null
